time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.060000,-0.0292,-0.0790,-0.2915,0.303
5.073257,-0.5800,-0.0683,-0.3240,0.668
5.084192,-0.7081,-0.1319,-0.3866,0.817
5.092858,-0.7058,-0.3879,0.4514,0.923
5.101574,-0.5606,-0.1485,0.7431,0.943
5.113700,0.1982,-0.0242,2.0883,2.098
5.124056,0.3105,-0.1912,2.8451,2.868
5.143123,-0.0142,-0.3351,1.9559,1.984
5.144298,-0.3228,-0.2561,0.2852,0.501
5.153954,-0.7181,-0.0498,-1.0428,1.267
5.160305,-0.7440,0.1946,-1.5838,1.761
5.172622,-0.0411,0.2285,-2.4998,2.511
5.183790,-0.1645,0.1185,-2.7528,2.760
5.192647,-0.3646,-0.3502,-1.4377,1.524
5.200845,-0.4050,-0.5434,-0.9658,1.180
5.213001,0.4372,-0.5378,-0.0385,0.694
5.219964,0.7405,-0.4352,0.3124,0.914
5.237661,1.0401,-0.2124,0.8052,1.332
5.239998,1.1364,-0.0435,0.2239,1.159
5.252461,0.8798,0.0859,-0.3965,0.969
5.259927,0.7081,0.1565,0.6208,0.955
5.272666,-0.2159,-0.0030,-1.3027,1.321
5.280834,-0.5670,-0.0624,-1.4007,1.512
5.292897,-0.9009,-0.0529,-1.0520,1.386
5.301583,-0.8487,-0.1011,-0.1360,0.865
5.312888,0.3651,-0.0826,0.7252,0.816
5.320718,1.1509,0.0273,0.6310,1.313
5.337209,1.5455,0.3467,0.4939,1.659
5.340019,0.8204,0.4475,0.5641,1.092
5.352812,-1.2232,-0.0163,0.1953,1.239
5.360710,-1.3166,-0.3662,0.0028,1.367
5.372677,-0.7514,-0.5286,1.2856,1.580
